0.100494, VREFINT_LOW 1669
0.100921, ADC_DR 0
0.101623, ADC reference value is 65520
10.975006, 9712, 99.765434
10.989166, 9712, 92.690544
11.003326, 9712, 86.5615
11.031646, 9712, 76.471695
11.045806, 9712, 72.269485
11.059967, 8176, 68.51055
11.074127, 8176, 65.12826
11.088287, 65520, 1334.3334
11.102447, 32752, 654.0612
11.116607, 32752, 433.43243
11.130767, 32752, 324.23233
11.144927, 27632, 259.0645
11.159088, 17392, 215.7651
11.173248, 17392, 184.90805
11.187408, 17392, 161.80402
11.201568, 17392, 143.85715
11.215728, 17392, 129.51405
11.244049, 17392, 108.023415
11.258209, 17392, 99.765434
11.272369, 17392, 92.690544
11.286499, 10224, 86.5615
11.300659, 9712, 81.2005
11.314819, 9712, 76.471695
11.328979, 9712, 72.269485
11.343139, 9712, 68.51055
11.357299, 9712, 65.12826
11.371459, 65520, 1334.3334
11.385620, 32752, 654.0612
11.399780, 32752, 433.43243
11.413940, 32752, 324.23233
11.428100, 28656, 259.0645
11.442260, 17392, 215.7651
11.456420, 17392, 184.90805
11.470581, 17392, 161.80402
11.484741, 17392, 143.85715
11.498901, 17392, 129.51405
11.513061, 17392, 117.78832
11.527221, 12272, 108.023415
11.541381, 9712, 99.765434
11.555541, 9712, 92.690544
11.569702, 9712, 86.5615
11.583862, 9712, 81.2005
11.598022, 9712, 76.471695
11.612182, 9712, 72.269485
11.626342, 9712, 68.51055
11.640502, 9712, 65.12826
11.668823, 65520, 654.0612
11.682983, 32752, 433.43243
11.697143, 32752, 324.23233
11.711303, 32752, 259.0645
11.725463, 17392, 215.7651
11.739624, 17392, 184.90805
11.753784, 17392, 161.80402
11.767944, 17392, 143.85715
11.782104, 17392, 129.51405
11.796264, 17392, 117.78832
11.810424, 17392, 108.023415
11.824584, 17392, 99.765434
11.838745, 17392, 92.690544
11.852905, 9712, 86.5615
11.867065, 9712, 81.2005
11.881225, 9712, 76.471695
11.895385, 9712, 72.269485
11.909545, 9712, 68.51055
11.923706, 9712, 65.12826
11.937866, 65520, 1334.3334
11.952026, 32752, 654.0612
11.966186, 32752, 433.43243
11.994506, 32752, 259.0645
12.008666, 17392, 215.7651
12.022827, 17392, 184.90805
12.036987, 17392, 161.80402
12.051147, 17392, 143.85715
12.065307, 17392, 129.51405
12.079467, 17392, 117.78832
12.093627, 17392, 108.023415
12.107788, 17392, 99.765434
12.121948, 12784, 92.690544
12.136108, 9712, 86.5615
12.150268, 9712, 81.2005
12.164428, 9712, 76.471695
12.178588, 9712, 72.269485
12.206909, 9712, 65.12826
12.221069, 65520, 1334.3334
12.235229, 32752, 654.0612
12.249389, 32752, 433.43243
12.263549, 32752, 324.23233
12.277709, 17392, 259.0645
12.291870, 17392, 215.7651
12.306030, 17392, 184.90805
12.320190, 17392, 161.80402
12.334350, 17392, 143.85715
12.348510, 17392, 129.51405
12.362670, 17392, 117.78832
